quarter,department,day,targeted_productivity,smv,over_time,incentive,no_of_workers,productivity_met
Quarter2,sweing,Sunday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',no
Quarter2,sweing,Sunday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(57.75-inf)\'',no
Quarter2,sweing,Sunday,0.8,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(49.5-56.75]\'',no
Quarter2,finishing,Sunday,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Sunday,0.5,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Sunday,0.6,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Sunday,0.8,'\'(29.75-inf)\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',no
Quarter2,sweing,Sunday,0.6,'\'(18.505-22.19]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(56.75-57.75]\'',no
Quarter2,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Monday,0.35,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter2,finishing,Monday,0.8,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter2,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Monday,0.65,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Monday,0.8,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(-inf-10.5]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Monday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Monday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Monday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',no
Quarter2,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Monday,0.8,'\'(29.75-inf)\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(57.75-inf)\'',no
Quarter2,sweing,Monday,0.65,'\'(18.505-22.19]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Monday,0.65,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',no
Quarter2,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Monday,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Monday,0.35,'\'(22.19-22.735]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Tuesday,0.35,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter2,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter2,finishing,Tuesday,0.8,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter2,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Tuesday,0.65,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Tuesday,0.8,'\'(26.41-29.75]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(57.75-inf)\'',no
Quarter2,sweing,Tuesday,0.8,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',no
Quarter2,finishing,Tuesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Tuesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,finishing,Tuesday,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Tuesday,0.7,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',no
Quarter2,sweing,Tuesday,0.7,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',no
Quarter2,sweing,Tuesday,0.5,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter2,sweing,Tuesday,0.35,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Wednesday,0.35,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Wednesday,0.65,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter2,sweing,Wednesday,0.8,'\'(11.51-18.505]\'','\'(2220-3375]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Wednesday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(17.5-49.5]\'',yes
Quarter2,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter2,sweing,Wednesday,0.7,'\'(18.505-22.19]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Wednesday,0.6,'\'(22.19-22.735]\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(56.75-57.75]\'',yes
Quarter2,sweing,Wednesday,0.5,'\'(22.19-22.735]\'','\'(3375-4110]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',no
Quarter2,sweing,Wednesday,0.35,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter2,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1020-1380]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter2,sweing,Wednesday,0.8,'\'(29.75-inf)\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(56.75-57.75]\'',no
Quarter2,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(1020-1380]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,finishing,Thursday,0.35,'\'(4.01-4.45]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter3,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(3375-4110]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter3,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,finishing,Thursday,0.65,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,finishing,Thursday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Thursday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(10.5-39]\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Thursday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Thursday,0.7,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',yes
Quarter3,finishing,Thursday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Thursday,0.5,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Thursday,0.65,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Thursday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Thursday,0.6,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Thursday,0.5,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Thursday,0.5,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',no
Quarter3,finishing,Saturday,0.65,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,sweing,Saturday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(62.5-inf)\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Saturday,0.8,'\'(11.51-18.505]\'','\'(4110-5730]\'','\'(62.5-inf)\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Saturday,0.8,'\'(29.75-inf)\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Saturday,0.6,'\'(22.735-26.41]\'','\'(5730-6630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Saturday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Saturday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,finishing,Saturday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Saturday,0.65,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Saturday,0.6,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Saturday,0.6,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Saturday,0.8,'\'(-inf-3.92]\'','\'(-inf-930]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Saturday,0.7,'\'(29.75-inf)\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(57.75-inf)\'',no
Quarter3,finishing,Saturday,0.8,'\'(4.01-4.45]\'','\'(1020-1380]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,finishing,Sunday,0.6,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,finishing,Sunday,0.65,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,sweing,Sunday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(62.5-inf)\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Sunday,0.8,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Sunday,0.8,'\'(22.735-26.41]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Sunday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Sunday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Sunday,0.8,'\'(26.41-29.75]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',no
Quarter3,sweing,Sunday,0.65,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Sunday,0.65,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(39-49.5]\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Sunday,0.65,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Sunday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Sunday,0.6,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(57.75-inf)\'',yes
Quarter3,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',no
Quarter3,sweing,Sunday,0.8,'\'(29.75-inf)\'','\'(10290-inf)\'','\'(10.5-39]\'','\'(56.75-57.75]\'',no
Quarter3,finishing,Sunday,0.7,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,finishing,Monday,0.7,'\'(4.01-4.45]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter3,finishing,Monday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,finishing,Monday,0.65,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,sweing,Monday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Monday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Monday,0.7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Monday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Monday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Monday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Monday,0.7,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,finishing,Monday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Monday,0.65,'\'(18.505-22.19]\'','\'(6997.5-9630]\'','\'(10.5-39]\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Monday,0.8,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(56.75-57.75]\'',no
Quarter3,sweing,Monday,0.5,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Monday,0.7,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,finishing,Monday,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Monday,0.35,'\'(11.51-18.505]\'','\'(5730-6630]\'','\'(10.5-39]\'','\'(17.5-49.5]\'',yes
Quarter3,finishing,Tuesday,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,sweing,Tuesday,0.8,'\'(4.45-11.51]\'','\'(4110-5730]\'','\'(62.5-inf)\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Tuesday,0.8,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Tuesday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Tuesday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Tuesday,0.7,'\'(22.19-22.735]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Tuesday,0.7,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,finishing,Tuesday,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',no
Quarter3,sweing,Tuesday,0.7,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Tuesday,0.7,'\'(18.505-22.19]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,finishing,Tuesday,0.8,'\'(-inf-3.92]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter3,sweing,Tuesday,0.5,'\'(11.51-18.505]\'','\'(3375-4110]\'','\'(10.5-39]\'','\'(17.5-49.5]\'',yes
Quarter3,sweing,Tuesday,0.35,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Tuesday,0.7,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',no
Quarter3,finishing,Wednesday,0.75,'\'(4.01-4.45]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter3,finishing,Wednesday,0.7,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter3,sweing,Wednesday,0.75,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Wednesday,0.8,'\'(11.51-18.505]\'','\'(5730-6630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter3,finishing,Wednesday,0.8,'\'(3.92-4.01]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,sweing,Wednesday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter3,sweing,Wednesday,0.7,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Wednesday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(49.5-56.75]\'',yes
Quarter3,finishing,Wednesday,0.7,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter3,sweing,Wednesday,0.7,'\'(18.505-22.19]\'','\'(10290-inf)\'','\'(49.5-62.5]\'','\'(57.75-inf)\'',yes
Quarter3,sweing,Wednesday,0.7,'\'(22.19-22.735]\'','\'(9630-10290]\'','\'(62.5-inf)\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Wednesday,0.7,'\'(11.51-18.505]\'','\'(9630-10290]\'','\'(49.5-62.5]\'','\'(56.75-57.75]\'',yes
Quarter3,sweing,Wednesday,0.65,'\'(22.735-26.41]\'','\'(9630-10290]\'','\'(10.5-39]\'','\'(56.75-57.75]\'',yes
